min_cost_per_person,max_cost_per_person,time_stayed_in_days,travel_place,traveled_from,travel_month,hotel_name,did_you_like_the_hotel,recommended_restaurant,did_you_like_the_restaurant
2300,3400,1.0,sitakunda eco park,chittagong ,september,Golden Lodge,yes,chui jhal beef restaurant,no
4000,5500,2.0,tanguar haor, teknaf,may,Hill Hill,yes,Palace Diner,no
2700,4500,2.5,bichanakandi,kishoreganj ,september,Golden Inn,no,saffron restaurant,yes
2700,8900,3.5,bandarban,kushtia,december,sairu hill resort,yes,chimbuk hill restaurant,yes
5900,7200,3.0,sajek valley,thakurgaon,november, ruilui resort,yes,sajek chilikotha restaurant,yes
4200,5900,3.0,jaflong,laxmipur,february,Sea View,yes,panshi restaurant,yes
1900,3800,1.5,sitakunda eco park,dinajpur ,december," the peninsula chittagong, hotel agrabad",yes,rajbari restaurant,no
1700,5900,2.5,kuakata,joypurhat ,january,Golden View,no,rajdhani hotel & restaurant,no
3700,8700,5.0,sajek valley,dhaka ,september,sajek valley resort,yes,Spice Food Court,yes
6000,7800,8.5,lawachara national park,dhaka ,november,Beach Palace,yes,kutum bari restaurant,no
4400,9200,7.0,saint martins island,dhaka ,april,hotel prince heaven,yes,hasan restaurant,yes
3400,7900,2.0,kuakata,sirajganj,december,hotel aman international,yes,Golden Restaurant,yes
4600,7300,5.5,bandarban, dhaka,may,Resort Hill,yes,Royal Restaurant,yes
1500,2400,1.0,mahasthangarh,sirajganj,january,momo inn,yes,Traditional Hotel and Restaurant,yes
4400,6800,2.5,sajek valley,bike ,april,sajek resort,no,Royal Restaurant,yes
2700,5100,2.0,bichanakandi,sylhet ,november,Golden Inn,no,Palace Food Court,no
1500,2600,1.0,panam city sonargaon,dhaka,july,Hill Garden,yes,Paradise Diner,no
2200,4200,1.0,ratargul swamp forest,campus ,november,Royal View,yes,Paradise Food Court,yes
2500,3700,1.0,kuakata, chattogram ,january,hotel sea queen resort,yes,Palace Diner,yes
4900,5400,2.5,bichanakandi,dhaka,january,Golden Inn,yes,Palace Food Court,no
4300,5800,3.5,jaflong,dinajpur ,july,Sea View,yes,pach_bhai restaurant,yes
3800,5000,3.0,bandarban,kushtia,march,nilgiri resort,yes,Royal Restaurant,yes
7500,10000,10.0,lawachara national park, teknaf,december,Beach Palace,yes,Spice Kabab House,yes
2200,3800,1.0,ratargul swamp forest,campus ,november,Resort Hill,yes,Paradise Food Court,yes
2400,3900,2.0,sitakunda eco park,chittagong ,september,(nearby in chattogram) radisson blu chattogram bay view,yes,zafran restaurant,yes
1500,2300,5.0,coxs bazar,cumilla ,december,Royal Resort,yes,salt bistro & cafe,no
1500,3300,1.0,mahasthangarh,sirajganj,march,Grand Resort,yes,Traditional Hotel and Restaurant,yes
7500,9100,4.5,sajek valley,dhala,november,sajek tourist complex,yes,sajek chilikotha restaurant,yes
1500,2500,1.0,paharpur buddhist vihara,joypurhat ,june,hotel touch & go,no,Palace Cafe,no
1500,3000,1.0,panam city sonargaon,narayanganj ,december,Hill Garden,no,Palace Hotel and Restaurant,no
4900,5700,7.5,lawachara national park,dhaka ,december,Beach Palace,no,Palace Diner,yes
3300,6800,3.5,coxs bazar,laxmipur,february,royal beach hotel,yes,salt bistro & cafe,yes
5100,7000,2.0,kuakata,barishal,february,Green Palace,no,hotel nibedita & restaurant,yes
2800,5300,1.0,bichanakandi,dhaka,november,bichanakandi resort,yes,panshi restaurant,no
5900,6400,2.0,jaflong,dinajpur ,june,jaflong tourist lodge,yes,pach_bhai restaurant,yes
1500,4000,1.0,sitakunda eco park,dhaka,june, radisson blu chattogram bay view,yes,zafran restaurant,no
1500,5500,3.5,coxs bazar, teknaf,january,grace cox smart hotel,yes,sea lamp beach cafe,yes
1500,3200,1.0,mahasthangarh,sirajganj,january,Palace Hill,yes,Spice Restaurant,yes
3400,4000,4.0,jaflong,sylhet,may,jaflong tourist lodge,yes,jaflong view restaurant,yes
3400,9700,1.0,bichanakandi,dhaka,november,Grand Hill,yes,saffron restaurant,yes
1500,3300,1.0,mahasthangarh,chittagong,december,momo inn,yes,Traditional Hotel and Restaurant,yes
1500,2100,1.0,mahasthangarh,sirajganj,june,Grand Resort,yes,Traditional Hotel and Restaurant,yes
3400,7300,4.5,saint martins island,"rajbari,dhaka",august,Palace Hill,no,Traditional Cafe,yes
4300,7000,2.0,tanguar haor,dhaka,june,Palace Palace,yes,Paradise Food Court,no
3200,4900,5.0,jaflong,savar,december,hotel noorjahan grand (sylhet),yes,Golden Food Court,yes
4200,5600,5.0,jaflong,home,march, jaflong green resort,yes,pach bhai restaurant,yes
1500,2500,1.0,panam city sonargaon,dhaka,december,Hill Resort,no,pan pacific sonargaon dhaka,no
2900,8000,1.0,bichanakandi,dhaka,march,Grand Hill,yes,Paradise Restaurant,no
2400,7900,2.5,sajek valley,comilla ,september,Palace View,yes,the taste of sajek restaurant,yes
2200,3600,1.0,ratargul swamp forest,gazipur ,november,Green Inn,yes,sinbad restaurant,yes
2200,6300,4.5,kuakata,tangail,september,Golden View,yes,sea palace restaurant,yes
1500,10000,7.0,lawachara national park,gazipur,december,lawachara resort,no,Spice Kabab House,yes
1500,2600,1.0,panam city sonargaon,dhaka ,december,Hill Resort,no,sonargaon restauran,no
2200,3400,3.5,jaflong,dhaka,september,hotel noorjahan grand,no,jaflong view restaurant,yes
1500,2400,1.0,panam city sonargaon,dhaka,july,Hill Resort,yes,Paradise Diner,yes
1900,2700,1.5,sitakunda eco park,chottogram,september,Golden Lodge,yes,rajbari restaurant,no
2200,3000,5.0,coxs bazar,ashulia ,july,Beach View,yes,sea view restaurant,yes
6200,8000,3.0,sajek valley,narsingdi ,november,Palace Hill,no,sajek kutumbari restaurant,yes
5300,7600,4.0,sajek valley,chittagong ,december,sajek resort,no,sajek chilikotha restaurant,yes
4400,9600,1.0,coxs bazar,home,march,cox's bazar hotel & convention centre,yes,salt bistro & cafe,no
2000,3700,2.0,sitakunda eco park,barisal,august, radisson blu chattogram bay view,yes,rajbari restaurant,no
3600,5100,8.0,bandarban,barishal,october,Resort Inn,no,Taste Restaurant,yes
3100,5000,2.5,jaflong,sylhet ,may,jaflong green resort,no,Family Cafe,yes
6200,7600,2.5,bandarban,chottogram,april,sairu hill resort,yes,tohzah restaurant,no
2200,3500,1.0,ratargul swamp forest,cox's bazar,november,shah kamal hotel sylhet,yes,sinbad restaurant,yes
6000,9400,11.5,saint martins island,faridpur ,january, hotel blue pearl,yes,hasan restaurant,no
1500,3200,1.0,paharpur buddhist vihara,dhaka,february,Beach Palace,yes,Palace Cafe,yes
2200,3400,1.0,ratargul swamp forest,joypurhat ,november,Royal View,yes,sinbad restaurant,yes
3600,7100,4.0,rangamati,narsingdi ,september,parjatan holiday complex,yes,peda ting ting restaurant,yes
3500,5200,6.5,lawachara national park,dhaka ,december,grand sultan tea resort & golf,no,Palace Diner,no
1500,2200,1.0,paharpur buddhist vihara,gazipur ,june,hotel touch & go,yes,Spice Hotel and Restaurant,no
4700,5900,2.0,tanguar haor,brahmanbaria ,november,Hill Hill,yes,Paradise Food Court,no
1500,2400,1.0,paharpur buddhist vihara,savar ,april,hotel touch & go,yes,Spice Hotel and Restaurant,yes
3000,4400,1.5,sitakunda eco park,dhaka,august,(nearby in chattogram) radisson blu chattogram bay view,yes,Traditional Hotel and Restaurant,no
1500,2700,1.0,coxs bazar,home,march,cox's bazar holiday resort,yes,kasturi restaurant,yes
5200,6300,2.0,tanguar haor,brahmanbaria ,august,Hill Hill,yes,Taste Hotel and Restaurant,no
1500,3400,1.0,panam city sonargaon,ashulia ,july,Royal Resort,yes,pan pacific sonargaon dhaka,no
3600,4700,3.0,kuakata,sylhet ,september,hotel sea orchid,yes,sea palace restaurant,yes
6300,7800,6.5,saint martins island,noakhali ,march,nil digonte resort,yes,flying fish & food restaurant,no
5800,6800,3.5,bandarban,chittagong,may,Royal Hotel,no,chimbuk hill restaurant,yes
1700,4400,2.0,kuakata,barisal,october,hotel sea orchid,no,sea palace restaurant,yes
6800,8600,5.0,jaflong,satkhira ,september,jaflong eco resort,yes,pach bhai restaurant,yes
4500,6300,4.5,bandarban,chittagong ,february, milonchhori eco resort,yes,shwe restaurant,yes
1700,2300,2.0,sitakunda eco park,chittagong ,september,Golden Lodge,yes,rajbari restaurant,yes
1500,2600,3.0,coxs bazar,bandorban ,april,sundarbans resort,yes,sea view restaurant,yes
1500,2800,1.0,panam city sonargaon,dhaka ,december,Royal Resort,no,sonargaon restauran,yes
7500,8500,8.0,lawachara national park,dhaka ,december,lawachara resort,yes,Palace Diner,yes
2200,3100,1.0,ratargul swamp forest,campus ,november,Green Inn,yes,sinbad restaurant,yes
1500,2200,1.0,paharpur buddhist vihara,bike ,june,hotel naz garden (bogura),no,Spice Hotel and Restaurant,yes
2200,3900,1.0,ratargul swamp forest,campus ,may,Green Inn,yes,Paradise Food Court,yes
5500,8300,1.0,bichanakandi,noakhali ,january,Golden Inn,yes,saffron restaurant,no
2500,3400,2.0,sitakunda eco park,chittagong ,july,Golden Lodge,yes,rajbari restaurant,no
4600,6500,3.5,jaflong,cumilla,september,Sea View,no,sinbad restaurant,yes
3800,5900,2.0,tanguar haor,tangail,october,Hill Hill,yes,Taste Hotel and Restaurant,no
4100,6800,2.0,tanguar haor,savar ,october,Palace Palace,yes,Traditional Diner,no
5200,7200,2.5,coxs bazar,cox's bazar,september,seagull hotel,yes,poushee hotel & restaurant,no
2200,3100,1.0,ratargul swamp forest,cumilla,may,Resort Hill,yes,Paradise Food Court,yes
2400,4400,1.0,jaflong,sylhet ,july,hotel noorjahan grand,yes,pach bhai restaurant,no
1500,2500,1.0,panam city sonargaon,dhaka ,april,Grand Hill,no,Taste Kabab House,yes
7500,9500,1.0,bichanakandi,dhaka,september,Golden Inn,yes,panshi restaurant,yes
5000,5900,6.0,bandarban,chittagong ,october,chimbuk hill resort,no,hill's dine,yes
2800,8600,2.0,bichanakandi,kishoreganj ,september,Golden Inn,yes,Palace Diner,yes
4100,4700,4.5,kuakata,khulna ,june,sikder resort & villas,no,Golden Hotel and Restaurant,yes
1500,3400,1.0,mahasthangarh,sirajganj,march,momo inn,yes,Traditional Hotel and Restaurant,yes
1500,2900,1.0,panam city sonargaon,dhaka ,july,Royal Resort,yes,sonargaon restauran,no
2800,3700,4.0,bandarban, dhaka,may,hotel green hill,yes,Taste Restaurant,no
6400,7900,3.5,coxs bazar,chittagong,may,hotel sea crown,yes,the seven seas restaurant,no
3600,5900,2.5,sajek valley,mymensingh ,december, meghpunji resort,no,Royal Restaurant,yes
2200,3500,1.0,ratargul swamp forest,campus ,november,Resort Hill,yes,Paradise Food Court,yes
7500,10000,7.0,saint martins island,jashore,october,Palace Hill,yes,narikel jinjira restaurant,yes
3300,6100,2.5,sajek valley,dhaka ,december,jumghor eco resort,yes,sajek chilikotha restaurant,yes
4500,5700,1.5,jaflong,sylhet ,april,hotel noorjahan grand,yes,Family Cafe,no
3200,4900,1.0,bichanakandi,satkhira ,january,Golden Inn,no,Paradise Restaurant,yes
3600,5400,2.5,rangamati,sirajganj ,august,Hill Lodge,no,gang sabarang,yes
1700,3100,1.0,sitakunda eco park,faridpur ,september,Hotel Hotel,yes,Family Restaurant,no
1500,2900,1.0,panam city sonargaon,dhaka,february,Hill Garden,yes,pan pacific sonargaon dhaka,yes
1500,2100,1.0,paharpur buddhist vihara,brahmanbaria,february,Beach Palace,yes,hotel al-razzaque & restaurant,no
4600,6400,4.0,sajek valley,mymensingh ,december, a-frame cottage sajek,yes,sajek kutumbari restaurant,no
2200,3700,1.0,ratargul swamp forest,sirajganj,june,Resort Hill,yes,sinbad restaurant,yes
1500,3300,1.0,panam city sonargaon,cox's bazar,november,Royal Resort,no,Paradise Diner,yes
1500,2200,1.0,panam city sonargaon,dhaka,december,sonargaon hotel & resort,no,Taste Kabab House,no
1500,2200,1.0,panam city sonargaon,tangail,july,sonargaon hotel & resort,yes,Taste Kabab House,yes
5700,7400,3.0,sajek valley,thakurgaon,november,sajek resort,no,chhimbal restaurant,yes
2900,4500,1.5,bandarban,barishal,may,Royal Hotel,yes,chimbuk hill restaurant,no
1500,3000,1.0,mahasthangarh,sirajganj,may,momo inn,yes,casuarina,yes
2400,3400,2.5,coxs bazar,chittagong,june,"waves edge resort
",yes,Spice Restaurant,no
1500,3100,1.0,panam city sonargaon,campus ,july,Grand Hill,no,Taste Cafe,yes
4300,4900,3.5,bandarban,dhaka,january, hillside resort,yes,shwe restaurant,no
3900,6700,4.0,kuakata,dhaka,april,hotel sea paradise,yes,hotel nibedita & restaurant,no
5800,7100,2.0,bichanakandi,dhaka,november,Golden Inn,yes,saffron restaurant,yes
2800,6400,2.0,bichanakandi,kishoreganj ,july,Grand Hill,no,Paradise Restaurant,no
1500,3300,1.0,panam city sonargaon,dhaka,july,Hill Garden,no,Taste Cafe,yes
3500,5300,3.0,kuakata,narayanganj ,september,blue ocean hotel & resort,no,Palace Diner,yes
7500,10000,9.0,saint martins island,savar,february,hotel prince heaven,yes,st. martin village restaurant,yes
2200,3800,2.0,rangamati,gazipur,october,Beach International,no,peda ting ting restaurant,no
1500,2000,1.0,paharpur buddhist vihara,joypurhat ,october,hotel touch & go,yes,midas restaurant,yes
1500,6700,10.0,lawachara national park,dhaka ,december,Beach Palace,yes,Spice Kabab House,no
3500,4400,2.5,coxs bazar,cox's bazar ,august,sundarbans resort,no,bay marine beach resort restaurant,no
1500,3900,2.0,sitakunda eco park,pabna,august," the peninsula chittagong, hotel agrabad",yes,chui jhal beef restaurant,no
5100,6800,1.5,bichanakandi,dhaka,august,Grand Hill,yes,Paradise Restaurant,no
2200,3000,1.0,ratargul swamp forest,campus ,november,shah kamal hotel sylhet,yes,Paradise Food Court,yes
2400,5800,2.0,sajek valley,"rajbari,dhaka",october,Palace View,yes,Royal Restaurant,no
1500,3300,1.0,paharpur buddhist vihara,tangail,june,hotel naz garden (bogura),yes,hotel al-razzaque & restaurant,no
2200,3100,1.0,ratargul swamp forest,narsingdi ,november,Royal View,yes,Paradise Food Court,yes
1900,2900,1.0,sitakunda eco park,dhaka,october,(nearby in chattogram) radisson blu chattogram bay view,yes,chui jhal beef restaurant,yes
1500,3000,1.0,panam city sonargaon,dhaka ,december, (nearby in narayanganj/dhaka) pan pacific sonargaon,yes,sonargaon restauran,yes
2600,5700,6.0,bandarban,brahmanbaria,april, milonchhori eco resort,yes,green prairie restaurant,yes
5500,7700,5.0,sajek valley,dhaka,february,Palace View,yes,Royal Restaurant,yes
1500,3100,1.0,paharpur buddhist vihara,joypurhat ,june,Hotel View,no,Spice Hotel and Restaurant,no
2200,3900,1.0,ratargul swamp forest,gazipur ,april,Green Inn,yes,Paradise Food Court,yes
3500,7800,3.5,rangamati,pabna,june, hotel green castle,no,peda ting ting restaurant,no
5000,10000,3.5,sajek valley,thakurgaon,january,sajek resort,yes,Royal Cafe,yes
7500,9200,3.0,bichanakandi,dhaka,november,Golden Inn,no,Palace Diner,no
7500,9000,1.0,bichanakandi,dhaka,january,Grand Hill,no,Palace Food Court,no
3900,7000,1.0,bichanakandi,panchagarh ,september,bichanakandi resort,no,panshi restaurant,no
5000,6100,2.0,bichanakandi, gazipur ,november,Grand Hill,no,Palace Diner,yes
2000,6700,1.0,bandarban,sylhet,april,chimbuk hill resort,no,hill's dine,yes
2000,3100,1.0,sitakunda eco park, teknaf,august,(nearby in chattogram) radisson blu chattogram bay view,yes,zafran restaurant,no
1500,2400,1.0,mahasthangarh,noakhali ,january,Palace Hill,yes,casuarina,yes
7500,8000,1.0,saint martins island,sirajganj ,january,dream night resort,yes,flying fish & food restaurant,no
3100,5800,2.5,rangamati,dhaka ,december,Hill Lodge,no,Family Cafe,yes
3600,4900,3.5,kuakata,dhala,may,kuakata beach resort,no,sea palace restaurant,yes
4300,5400,7.0,lawachara national park,dhaka ,july,Beach Palace,yes,Palace Diner,no
1500,3300,2.0,sitakunda eco park,chittagong ,september,Hotel Hotel,yes,chui jhal beef restaurant,no
1500,3400,1.0,paharpur buddhist vihara,joypurhat ,june,Hotel View,yes,Palace Cafe,no
2400,3000,1.5,sitakunda eco park, dhaka ,september,Hotel Hotel,yes,Traditional Hotel and Restaurant,no
2200,3000,1.0,ratargul swamp forest,campus ,november,Resort Hill,yes,Paradise Food Court,yes
5200,7000,2.0,tanguar haor,dhaka,august, houseboats,yes,Paradise Food Court,no
4800,6400,2.0,tanguar haor,dhaka,june, haor bilash cottage,yes,Traditional Diner,no
2600,4400,10.0,lawachara national park,dinajpur ,december,lawachara resort,no,asian eco cafe & restaurant,yes
2200,5600,2.5,rangamati,dhaka ,october,hotel green castle,no,peda ting ting restaurant,yes
4700,5900,4.0,coxs bazar,"jatrabari,dhaka",november,deshpriya resort,yes,ocean paradise restaurant,yes
5100,5700,4.0,rangamati,kishoreganj ,december,Beach International,yes,chang pang restaurant,yes
2200,3000,1.0,ratargul swamp forest,campus ,august,Royal View,yes,Paradise Food Court,yes
3600,7000,2.5,kuakata,joypurhat ,april,kuakata grand hotel & sea resort,yes,sea palace restaurant,yes
1500,2600,1.0,paharpur buddhist vihara,dhaka ,june,Beach Palace,yes,Palace Cafe,yes
1500,2600,1.0,mahasthangarh,sirajganj,june,Palace Hill,yes,Spice Restaurant,yes
4900,6800,2.0,tanguar haor,dhaka,june, houseboats,yes,Taste Hotel and Restaurant,no
5400,8000,1.5,bichanakandi,dhaka,january,Golden Inn,yes,saffron restaurant,no
3100,4400,3.0,bandarban,savar ,march,hill resort,no,hill's dine,yes
1500,3500,2.0,jaflong,dinajpur ,april,Sea View,yes,Golden Food Court,yes
1500,2400,1.0,mahasthangarh,sirajganj,january,Palace Hill,yes,Spice Restaurant,yes
2200,3100,1.0,ratargul swamp forest,"rajbari,dhaka",november,shah kamal hotel sylhet,yes,sinbad restaurant,yes
2200,4400,4.0,rangamati,rajshahi ,april,Palace Resort,no,cafe mangal,no
4000,5000,2.0,coxs bazar, dhaka ,january,shahi hotel,no,sea crown restaurant,yes
1500,3400,1.0,mahasthangarh,sirajganj,april,Palace Hill,yes,Taste Kabab House,yes
4000,5600,2.0,rangamati,bandorban ,january,Palace Resort,no,Taste Food Court,no
5200,10000,10.0,lawachara national park,dhaka ,march,lawachara resort,yes,Spice Kabab House,no
5800,7500,1.5,rangamati,dhaka ,march,Beach International,yes,peda ting ting restaurant,no
1500,2600,1.0,paharpur buddhist vihara,dhaka,december,Beach Palace,no,hotel al-razzaque & restaurant,no
5600,10000,1.5,bichanakandi,kishoreganj ,september,Golden Inn,no,Palace Diner,no
1500,5800,2.0,sajek valley,barishal,april,jumghor eco resort,no,fudanki restaurant,no
5700,7600,3.0,sajek valley, teknaf,september,sajek valley resort,no,the taste of sajek restaurant,no
1500,2800,1.0,paharpur buddhist vihara,dhaka,february,Hotel View,no,midas restaurant,yes
6700,8700,9.5,lawachara national park,narayanganj ,december,lawachara resort,yes,kutum bari restaurant,no
5300,6600,2.5,bichanakandi,cumilla ,september,Grand Hill,no,panshi restaurant,no
2400,4800,4.0,bandarban,panchagarh ,august, milonchhori eco resort,yes,green prairie restaurant,no
5100,7000,3.0,coxs bazar,thakurgaon,may,shahi hotel,no,,no
2200,4100,1.5,sitakunda eco park,chittagong ,september,Hotel Hotel,yes,rajbari restaurant,no
1500,3100,1.0,mahasthangarh, gazipur ,january,Resort International,yes,Taste Kabab House,yes
1500,6300,3.5,sajek valley,home,september,sajek tourist complex,yes,Royal Restaurant,yes
5100,5900,2.0,coxs bazar,chittagong ,june,prime park hotel,yes,kasturi restaurant,yes
6000,7100,4.5,sajek valley,thakurgaon,december,Palace Hill,no,Spice Kabab House,no
6300,8400,3.0,bichanakandi,dhaka,september,Golden Inn,yes,Paradise Restaurant,no
4500,5400,2.0,tanguar haor,brahmanbaria ,june, haor bilash cottage,yes,Traditional Diner,no
6800,7500,8.0,saint martins island,sirajganj ,march,hotel prince heaven,yes,Paradise Diner,yes
3900,6900,9.5,lawachara national park,chittagong,may,lawachara resort,yes,Spice Kabab House,yes
4800,5400,2.0,tanguar haor,dhaka,june, haor bilash cottage,yes,kichukkhon,no
3600,5400,2.0,rangamati,gazipur ,august,Palace Resort,no,chang pang restaurant,no
6600,7200,1.0,saint martins island,faridpur ,october,coral view resort,yes,narikel jinjira restaurant,no
5600,6900,4.5,coxs bazar,chittagong,april,sea pearl beach resort,yes,bay marine beach resort restaurant,yes
6200,7000,9.5,saint martins island,cox's bazar,september,dream night resort,yes,st. martin village restaurant,yes
5000,7000,1.0,jaflong,comilla ,november, jaflong inn,yes,pach_bhai restaurant,yes
2700,3500,3.0,jaflong,dinajpur ,september,hotel noorjahan grand,yes,panshi restaurant,yes
1500,3200,1.0,sitakunda eco park,gazipur ,august,(nearby in chattogram) radisson blu chattogram bay view,yes,zafran restaurant,no
3100,6900,2.0,sajek valley,rajshahi ,april,sajek valley resort,yes,Spice Kabab House,yes
1500,3100,1.0,paharpur buddhist vihara, gazipur ,june,Hotel View,yes,hotel al-razzaque & restaurant,yes
2200,3100,1.0,ratargul swamp forest,campus ,november,Resort Hill,yes,sinbad restaurant,yes
1500,3000,1.0,mahasthangarh,sirajganj,april,momo inn,yes,Traditional Hotel and Restaurant,yes
7500,9900,2.5,coxs bazar,savar ,september,seagull hotel,yes,,yes
1500,2500,1.0,panam city sonargaon,dhaka,july,Royal Resort,yes,Taste Cafe,yes
7500,8800,4.0,coxs bazar,dhaka,may,hotel esha international,yes,poushee hotel and restaurant,yes
2200,3900,1.5,rangamati,barishal ,september, parjatan holiday complex,yes,chang pang restaurant,yes
1500,2200,1.0,mahasthangarh,sirajganj,may,momo inn,yes,casuarina,yes
1500,5000,2.0,kuakata,dinajpur ,june,hotel sea orchid,yes,rajdhani hotel & restaurant,yes
2200,3600,1.0,ratargul swamp forest,campus ,november,Resort Hill,yes,Paradise Food Court,yes
4400,6700,7.0,bandarban,sirajganj,december,Resort Inn,yes,green prairie restaurant,yes
1500,2100,1.0,panam city sonargaon,sirajganj,july, (nearby in narayanganj/dhaka) pan pacific sonargaon,yes,Paradise Diner,no
4500,10000,5.5,saint martins island,cox's bazar,april, coral view resort,yes,st. martin village restaurant,no
2200,3300,2.5,kuakata,faridpur,july,hotel grand safa inn,yes,Palace Diner,yes
4500,6100,1.0,bichanakandi,joypurhat ,november,Grand Hill,yes,Palace Diner,no
5200,8400,2.5,bichanakandi,faridpur ,april,bichanakandi resort,yes,Palace Food Court,no
7500,8200,6.0,lawachara national park,dhaka ,december,grand sultan tea resort & golf,yes,Palace Diner,yes
2700,7400,2.0,sajek valley,faridpur,november, meghpunji resort,yes,sajek chilikotha restaurant,no
4200,8500,3.5,sajek valley,savar,august, ruilui resort,yes,fudanki restaurant,yes
2400,4500,3.5,coxs bazar,gazipur,november,cox's bazar hotel & convention centre,yes,sea crown restaurant,yes
2200,3800,1.0,ratargul swamp forest,campus ,november,shah kamal hotel sylhet,yes,Paradise Food Court,yes
3000,4600,2.0,sitakunda eco park,dhaka,august, radisson blu chattogram bay view,yes,Traditional Hotel and Restaurant,yes
3600,5400,5.5,kuakata,savar,october,blue ocean hotel & resort,yes,sea palace restaurant,yes
2200,3300,1.0,sitakunda eco park,chittagong ,january, radisson blu chattogram bay view,yes,zafran restaurant,no
1500,3000,1.0,panam city sonargaon,dhaka ,december, (nearby in narayanganj/dhaka) pan pacific sonargaon,yes,Taste Cafe,no
4700,10000,1.0,bichanakandi,dhaka,september,Golden Inn,yes,Traditional Food Court,yes
2500,8300,4.0,sajek valley,dhaka,december,Palace Hill,yes,Royal Cafe,yes
4900,5600,8.0,lawachara national park,dhaka ,november,Hill View,yes,Spice Kabab House,no
6300,6900,2.0,saint martins island,sirajganj ,march,Royal Hill,yes,st. martin village restaurant,yes
3100,7400,7.5,lawachara national park,jashore ,november,grand sultan tea resort & golf,no,asian eco cafe & restaurant,yes
1500,3400,1.0,paharpur buddhist vihara,gazipur,june,Beach Palace,yes,Spice Hotel and Restaurant,no
2200,3400,1.0,ratargul swamp forest,campus ,november,Green Inn,yes,sinbad restaurant,yes
1500,2400,1.0,mahasthangarh,brahmanbaria,november,Palace Hill,yes,casuarina,yes
7500,8300,5.0,lawachara national park,dhaka ,november,lawachara resort,yes,kutum bari restaurant,no
4100,5200,2.0,sajek valley,"jatrabari,dhaka",september,ruilui resort,yes,the taste of sajek restaurant,no
1500,3300,1.0,panam city sonargaon,dhaka,july,Hill Resort,yes,sonargaon restaurant,no
3600,7100,4.0,bandarban,chittagong,january,Grand Resort,no,hill view restaurant,yes
5800,7800,5.0,coxs bazar,ashulia ,february,the zabeer hotel,yes,kasturi restaurant,yes
3800,7000,2.0,tanguar haor,dhala,march,Palace Palace,yes,Paradise Food Court,no
2500,4500,4.0,kuakata,tangail,july,hotel sea orchid,yes,Golden Restaurant,no
6100,7600,7.5,lawachara national park,bandorban ,december,grand sultan tea resort & golf,yes,Spice Kabab House,no
1700,8900,1.0,saint martins island,narsingdi ,september,coral view resort,yes,st. martin village restaurant,yes
1500,2900,1.0,paharpur buddhist vihara,dhaka,february,Beach Palace,no,midas restaurant,yes
3100,5800,3.0,coxs bazar,sylhet ,september,beach hotel,no,palongki inani,yes
5700,6800,4.0,saint martins island,pabna,january,coral view resort,no,Traditional Cafe,no
4800,6100,5.0,bandarban,brahmanbaria,april,hill resort,yes,chimbuk hill restaurant,yes
3800,7000,2.0,tanguar haor,dhaka,march,Palace Palace,yes,Paradise Food Court,no
2200,3100,1.0,ratargul swamp forest,brahmanbaria,november,Green Inn,yes,Sea Food Court,yes
2500,6800,2.0,jaflong,dinajpur ,january, jaflong inn,yes,pach bhai restaurant,yes
1900,2900,5.0,sajek valley,sirajganj ,july,jumghor eco resort,no,maruti didi restaurant,yes
4900,10000,1.0,saint martins island,gazipur,october, coral view resort,yes,Traditional Cafe,yes
2600,3600,3.5,jaflong,narsingdi ,may, jaflong inn,yes,Golden Food Court,yes
2200,3000,1.0,ratargul swamp forest,campus ,november,shah kamal hotel sylhet,yes,Paradise Food Court,yes
4700,7700,4.0,sajek valley,gazipur ,november, meghpunji resort,yes,fudanki restaurant,yes
3200,4200,2.5,coxs bazar,sirajganj ,february,sea view hotel,yes,Golden Food Court,yes
7500,10000,8.5,lawachara national park,dhaka ,december,grand sultan tea resort & golf,no,kutum bari restaurant,no
4600,6400,2.0,sajek valley,thakurgaon,september,jumghor eco resort,yes,Spice Food Court,no
4700,5900,1.5,bandarban,dhaka ,october,nilgiri resort,yes,Taste Restaurant,no
7500,8100,10.0,lawachara national park,dhaka ,december,grand sultan tea resort & golf,yes,kutum bari restaurant,no
2200,3900,1.0,ratargul swamp forest,dinajpur ,february,Resort Hill,yes,Sea Food Court,yes
5000,6700,2.5,kuakata,khulna ,july,kuakata holiday inn,no,banorupa garden restaurant,yes
1500,3000,1.0,paharpur buddhist vihara,dhaka,december,Hotel View,no,Spice Hotel and Restaurant,yes
2100,2900,3.5,jaflong,dhaka,december,hotel noorjahan grand (sylhet),yes,Golden Food Court,yes
7500,9000,2.0,sajek valley, barishal,march, a-frame cottage sajek,no,sajek kutumbari restaurant,yes
5800,7600,3.0,rangamati,laxmipur,may,parjatan holiday complex,yes,cafe mangal,no
1500,2400,1.0,paharpur buddhist vihara,joypurhat ,february,Hotel View,no,Spice Hotel and Restaurant,no
1500,3000,1.0,panam city sonargaon,dhaka,july, (nearby in narayanganj/dhaka) pan pacific sonargaon,no,sonargaon restauran,no
2200,3000,1.0,ratargul swamp forest,campus ,february,Royal View,yes,Sea Food Court,yes
3000,5400,1.5,kuakata,tangail,november,Green Palace,yes,Golden Hotel and Restaurant,yes
5200,6000,2.0,tanguar haor,cumilla ,april,Hill Hill,yes,kichukkhon,no
2200,3000,1.0,ratargul swamp forest,campus ,july,shah kamal hotel sylhet,yes,Paradise Food Court,yes
